Name,,Fiscal Year,Pitchbook Link,Company Name,Year Founded,Employee Growth ,Current Employees,Keywords,Verticals,All Industries,Lead/Sole Investors,# Follow-on Investors,Financing Status,Business Status,Deal Date,Total Invested Equity,Raised to Date,Deal Class,Deal Type,VC Round,Deal Type 2,Deal Size,Series,Deal No.,VC Round Up/Down/Flat,Current Financing Status,Financing Status Note,Current Business Status,Description,Investors,Deal Synopsis,Deal Date
Adrix,,2021,https://pitchbook.com/profiles/company/443319-13,Adrix,2020,"2021: 21, 2020: 20",16,"alternative  asset investment, alternative asset trading platform, big data  analytics, financial analytics, fintech company, index calculation,  investment platform","Artificial Intelligence & Machine Learning, Big Data, FinTech","Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,29/11/2020,1.4,4.63,Individual,Equity Crowdfunding,,,1.4,,2,,Venture Capital-Backed,"The  company raised $1.4 million of equity crowdfunding via Eureeca on  November 19, 2020. The funds will be used to launch the company's  platform which will give traders direct access to Aqua alt-assets.  Previously, the company raised GBP 2.50 million of venture funding in a  deal led by Elevat3 Capital on October 15, 2020, putting the company's  pre-money valuation at GBP 3.41 million. Other undisclosed investors  also participated in this round.",Generating Revenue,"Operator  of a next-generation alternative asset and analytics investment  platform intended to invest in sports stars, business leaders,  celebrities, and influencers. The company's software uses AI,  mathematics, analytics, algorithms, and a proprietary real-time pricing  engine to capture and analyze data from hundreds of global sources,  enabling customers to create tradable indices and put a price on human  success.",,"The  company raised GBP 91,302 of venture funding from undisclosed investors  on January 24, 2022, putting the company's pre-money valuation at GBP  1.23 million.",
Landbay,,2020,https://pitchbook.com/profiles/company/62352-64,Landbay,2013,"2021: 108, 2020: 110, 2019: 90, 2017: 30, 2016: 18, 2013: 1",113,"alternative  property investment, buy-to-let mortgage, mortgage products, online  lending platform, property mortgage, securitisation company","FinTech, Mortgage Tech, Real Estate Technology, SaaS, TMT","Financial Software, Other Financial Services, Specialized Finance*",,,Venture Capital-Backed,Generating Revenue,27/11/2020,6.75,"1,273.18",Individual,Equity Crowdfunding,,,6.75,,14,,Venture Capital-Backed,"The  company raised GBP 1.5 million of venture funding from Dale Ventures on  March 10, 2022.Previously, the company raised GBP 3.2 million of  venture funding from Seedrs on October 8, 2021, putting the company's  pre-money valuation at GBP 69.85 million.",Generating Revenue,"Developer  of peer-to-peer lending software designed to offer information on  mortgages and alternative investments. The company's platform matches  funding to a diversified portfolio via its platform, supporting the  growth of quality private rental accommodation, enabling retail  investors, institutions, and local governments to invest in the UK's  private rented sector through the funding of residential buy-to-let  mortgages.",,"The company raised an undisclosed amount of seed funding from Sonny Aswani and other undisclosed investors on February 16, 2015.",
Pikl,,2020,https://pitchbook.com/profiles/company/277122-16,Pikl,#N/A,#N/A,24,"home  insurance, hosting insurance, insurance cover, insurance product,  insurance seller, insurtech company, insurtech firm, insurtech sector,  insurtech solutions, insurtech technology, shared mobility ecosystem,  shared mobility solutions, sharing economy insurance","FinTech, InsurTech",Property and Casualty Insurance*,,,Venture Capital-Backed,Generating Revenue/Not Profitable,27/11/2020,2.52,5.74,Venture Capital,Early Stage VC,2,,2.52,,3,Down Round,Venture Capital-Backed,"The  company closed on $2 million of venture funding from Chris Adelsbach,  Evelyn Bourke and Ian Donaldson on an undisclosed date. It plans to  close the round by March 18, 2022. Previously, the company raised GBP  2,827,071 of equity crowdfunding via Seedrs on February 14, 2022.",Generating Revenue/Not Profitable,"Provider  of specialist insurance protection services intended to reduce risk and  financial loss. The company provides insurance products for the sharing  economy, it provides support for minor incidents, helps mediate  repayment of damage between hosts and guests, and offers the only  sharing platform with protection, enabling homeowners hosts with homes  insurance cover in case of damages caused due to accidents or abuse of  trust by the guests.",,"The  company raised GBP 29 million of venture funding through a combination  of debt and equity on February 22, 2021. Equity portion of funding was  provided by British Business Bank and Peter Searle. An undisclosed  amount of loan was provided by Sonovate. The funds will be used to  double the company's headcount to 50 in 2021 and invest in its portfolio  of tech solutions for shift workers.",
Pikl,,2020,https://pitchbook.com/profiles/company/277122-16,Pikl,#N/A,#N/A,24,"home  insurance, hosting insurance, insurance cover, insurance product,  insurance seller, insurtech company, insurtech firm, insurtech sector,  insurtech solutions, insurtech technology, shared mobility ecosystem,  shared mobility solutions, sharing economy insurance","FinTech, InsurTech",Property and Casualty Insurance*,,1,Venture Capital-Backed,Generating Revenue/Not Profitable,27/11/2020,2.38,8.11,Venture Capital,Seed Round,3,Seed Round,2.38,,4,Down Round,Venture Capital-Backed,"The  company closed on $2 million of venture funding from Chris Adelsbach,  Evelyn Bourke and Ian Donaldson on an undisclosed date. It plans to  close the round by March 18, 2022. Previously, the company raised GBP  2,827,071 of equity crowdfunding via Seedrs on February 14, 2022.",Generating Revenue/Not Profitable,"Provider  of specialist insurance protection services intended to reduce risk and  financial loss. The company provides insurance products for the sharing  economy, it provides support for minor incidents, helps mediate  repayment of damage between hosts and guests, and offers the only  sharing platform with protection, enabling homeowners hosts with homes  insurance cover in case of damages caused due to accidents or abuse of  trust by the guests.","Anthony Gutman, Peter Wood","The  company raised $3.9 million of seed funding from QCP Capital,  Bitcoin.com and Krypital Group on September 30, 2020. Master Ventures,  NGC Ventures, Kenetic Capital, Woodstock Fund, AU21 Capital, Torchlight  Ventures, Pnyx Ventures, Exnetwork Capital, Genesis Block Ventures, TRG  Capital, WolfEdge Capital, and LD Capital also participated in the  round.",
Vauban,,2020,https://pitchbook.com/profiles/company/339761-98,Vauban,2018,"2021: 35, 2020: 21",52,"alternative  investment manager, fund administration platform, fund architects, fund  formation, fund maintenance, private investment club",FinTech,"Business/Productivity Software, Financial Software*, Other Financial Services",,4,Venture Capital-Backed,Generating Revenue,27/11/2020,2.11,3.33,Venture Capital,Seed Round,3,Seed Round,2.11,,3,,Venture Capital-Backed,"The  company raised GBP 5.28 million of venture funding from Outward Venture  Capital, Pentech Ventures, and 7percent Ventures on May 6, 2021,  putting the company's pre-money valuation at GBP 9.71 million. 6 other  undisclosed investors also participated in the round. The funds will be  used to deepen its tech and regulatory infrastructure and launch a new  office in Luxembourg to strengthen its European offering, alongside its  headquarters in London.",Generating Revenue,"Developer  of a wealth container platform designed to make alternative investing  fast, easy and accessible. The company's platform lowers the barriers by  removing the absurd cost and complexity of creating and maintaining  wealth containers, enabling small fund managers to have access to  software that allows them to set up and deploy complex legal entities  such as Funds and SPVs with a few clicks.","Argonautic Ventures, Kima Ventures, MJ Hudson (LON: MJH), Pi Labs (Esha Vatsa), United First Partners, West Loop Ventures (Kenny Estes)","The  company raised GBP 1.30 million of seed funding in a deal led by  LocalGlobe on October 14, 2016, putting the company's pre-money  valuation at GBP 1.98 million. ZPG, dmg ventures, Round Hill Ventures,  and JamJar Investments also participated in the round.",
Assetz Exchange,,2021,https://pitchbook.com/profiles/company/277199-02,Assetz Exchange,2014,84.17083333,4,"crowdfunding  platform, property crowdfunding, property crowdfunding platform,  property investment, property investment firm, property investment  platform","FinTech, Real Estate Technology","Financial Software, Other Financial Services*, Real Estate Services (B2C)",,,Venture Capital-Backed,Generating Revenue,26/11/2020,0.4,1.76,Individual,Equity Crowdfunding,,,0.4,,4,,Venture Capital-Backed,"The  company raised GBP 301,771 of equity crowdfunding via Seedrs as of  November 26. 2020, putting the company's pre-money valuation at GBP 4.7  million.",Generating Revenue,"Operator  of a property crowdfunding platform intended to solve the problem of  the housing crisis in the United Kingdom. The company's platform offers  to invest in a range of properties including student accommodation,  privately rented houses, and apartments, enabling users to invest in  properties and get a hefty return.",,"The  company raised GBP 4.80 million of Series A venture funding in a deal  led by dmg ventures and A/O PropTech on July 22, 2019, putting the  company's pre-money valuation at GBP 8.26 million. Swordfish  Investments, Tiny.VC, LocalGlobe, Clocktower Technology Ventures, Form  Ventures, Tibor Nagygyörgy, Christopher Kelly, Tom Petty, Ian Hogarth,  Alasdair Monk and Duncan Jennings also participated in the round. The  funding raised will be used to scale the business and enable expansion  to innovative property investment products, while continuing to improve  customer experience.",
MPT PAY,,2020,https://pitchbook.com/profiles/company/416656-00,MPT PAY,2001,84.17083333,3,"banking  services, digital banking software, digital banking solution platform,  digital banking solutions platform, financial ecosystem, financial  services","Cryptocurrency/Blockchain, FinTech","Financial Software, Other Financial Services*",KiwiTech,,Venture Capital-Backed,Generating Revenue,26/11/2020,10,10,Corporate,Seed Round,1,Seed Round,10,,1,,Venture Capital-Backed,"The  company raised $10 million of seed funding from KiwiTech on November  27, 2020. The funds will be used to refine existing solutions and  develop new financial products.",Generating Revenue,"Provider  of digital banking services intended to help businesses with  on-boarding, payment processing, and payouts. The company offers  services like banking accounts for residents and non-residents of the  Euro Union, multi-currency IBAN, SWIFT accounts, electronic wallets, and  fast pre-compliance, enabling clients to increase sales and customer  loyalty.",KiwiTech,"The  company raised GBP 351,876 of venture funding from undisclosed  investors on May 11, 2017, putting the company's pre-money valuation at  GBP 1.76 million.",
Banked,,2020,https://pitchbook.com/profiles/company/234776-08,Banked,2017,"2021: 39, 2018: 17",60,"api integration, api platform, banking app, banking data, data channel, financial data sharing platform, financial ecosystem","FinTech, Mobile","Financial Software*, Media and Information Services (B2B), Other Financial Services",,,Venture Capital-Backed,Generating Revenue,25/11/2020,,8.69,Venture Capital,Early Stage VC,4,Series A,,Series A,6,,Venture Capital-Backed,"The  company raised $14.80 million of Series A venture funding through a  combination of debt and equity in a deal led by Edenred Capital Partners  and Bank of America on February 14, 2022, putting the company's  pre-money valuation at $36.96 million. OM2, Force Over Mass Capital, and  other undisclosed investors also participated in the round. The funds  will be used to push into the US and hire more staff.",Generating Revenue,"Developer  of a global payments network designed to make real-time payments for  consumers, businesses and banks, improving customer experience, payment  security, business efficiency and cost-effectiveness. The company's  network offers bank account connections, spending analysis, balance and  income verification, and low-cost payments by connecting bank account  data to third-party applications via secure APIs and consent flows,  enabling clients to share data and use it in a wide range of apps and  still be in control.","Fabric Ventures, Love Ventures","The  company raised GBP 268,877 of equity crowdfunding via Seedrs on October  23, 2018, putting the company's pre-money valuation at GBP 4.65  million. The funds will be used to make further key hires to expand  capacity, add further features to the platform to allow new products,  and complete the process to become directly FCA authorised.",
Brickowner,,2020,https://pitchbook.com/profiles/company/150073-75,Brickowner,2015,"2021: 11, 2019: 5",9,"crowdfunding  info, property crowdfunding, property crowdfunding platform, real  estate crowdfunding, real estate investment, real estate platform","FinTech, Real Estate Technology, TMT","Financial Software*, Other Capital Markets/Institutions, Other Financial Services, Real Estate Services (B2C)",,,Venture Capital-Backed,Generating Revenue,25/11/2020,0.17,1.97,Individual,Equity Crowdfunding,,,0.17,,6,,Venture Capital-Backed,"The  company raised GBP 500,000 of equity crowdfunding via Seedrs on January  6, 2021. The funds will be used to hire talent, build new technology  and launch its secondary market in the first quarter of this year.",Generating Revenue,"Operator  of a crowdfunding platform designed to help in property investment. The  company's platform helps to invest in residential properties by  offering a route to get onto the real estate ladder and track market  growth while saving deposits for a home, enabling investors to diversify  their investment over multiple properties with low investment.",,"The  company raised GBP 550,785 of seed funding from NESTA, NorthStar Equity  Investors, IP group and other undisclosed individual investors n  January 31, 2013, putting the pre-money valuation at GBP 713,398.",
Bond Origination Technologies,,,https://pitchbook.com/profiles/company/470620-18,Bond Origination Technologies,2020,84.21527778,12,"analytics platform, bond issue, fintech software, process automation software, revenue platform, syndicate market data","FinTech, TMT","Financial Software*, Other Financial Services",,,Venture Capital-Backed,Startup,24/11/2020,0.56,0.56,Venture Capital,Early Stage VC,1,,0.56,,1,,Venture Capital-Backed,"The  company raised GBP 425,003 of venture funding from JLR Star, Peter  Charles and Sarwat Faruqui on November 24, 2020, putting the company's  pre-money valuation at GBP 2.05 million. Hugh Carter also participated  in the round.",Generating Revenue,"Developer  of a pre-trade origination platform intended to let investment banks  automate bond new issue pricing process. The company's platform allows  investment banks to maintain live pricing curves for any issuers in the  bond market, swap and export pricing for direct delivery to clients and  to run advanced analytics on new issue pricing datasets, enabling  clients to generate revenues and market share by automating their  workflow process.","Hugh Carter (Hugh Carter), JLR Star, Peter Charles (Peter Charles), Sarwat Faruqui (Sarwat Faruqui)","The  company raised GBP 3.57 million of Series A venture funding from  Praetura Ventures and other undisclosed investors on March 31, 2022,  putting the company's pre-money valuation at GBP 9.81 million. The  funding will be used to support people, seeking shift work in the  facilities management sector by helping them to source job  opportunities, onboard with new employers and get paid.",
Pipit Global,,2020,https://pitchbook.com/profiles/company/166146-58,Pipit Global,2013,"2021: 12, 2018: 13",12,"digital cash, digital payment, internet payment, online payment, payment application, payment platform","FinTech, Internet of Things, Mobile, Mobile Commerce",Financial Software*,,1,Venture Capital-Backed,Generating Revenue,23/11/2020,,1.15,Venture Capital,Later Stage VC,2,,,,4,,Venture Capital-Backed,"The  company is reportedly seeking EUR 2 million of Series A venture funding  from undisclosed investors as of May 7, 2021. Previously, the company  raised EUR 287,955 of equity crowdfunding in the form of SAFE notes via  Spark Crowdfunding on an undisclosed date.",Generating Revenue,"Developer  of a cash transaction platform designed to make offline payments on  online purchases. The company's platform facilitates people to pay cash  for their online purchases and assists in generating a barcode that can  be printed off or pushed to phones, thereby enabling businesses to offer  cross-border bill payments and accept cash for e-commerce orders.","Enterprise Ireland, Schema Capital","The  company raised $20 million of venture funding from Alameda Research,  Evangelion Capital and Genblock Capital on March 12, 2021. GD10  Ventures, Blocksync Ventures, 0xAlpha Capital, A195 Capital, Cowa  Ventures and Binance Labs also participated in the round.",
Zumo (Financial Software),,2020,https://pitchbook.com/profiles/company/399510-46,Zumo (Financial Software),2018,"2021: 36, 2020: 24",45,"cryptocurrency  and blockchain, cryptocurrency payment, digital wallet management,  digital wallet platform, financial software developer, financial  software platform, financial software system, online cryptocurrency  platform, online cryptocurrency trading","Cryptocurrency/Blockchain, FinTech","Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,23/11/2020,13.12,19.42,Venture Capital,Early Stage VC,4,Series A,13.12,Series A,6,,Venture Capital-Backed,"The  company raised GBP 1.32 million of venture funding in the form of  convertible debt in a deal led by Murray Capital in January, 2021.  Future Fund and other undisclosed investors also participated in the  round. Previously, the company raised GBP 10 million of Series A venture  funding from undisclosed investors on November 23, 2020.",Generating Revenue,"Developer  of a financial application designed to digitalize seamless transactions  with cryptocurrencies. The company's application offers a digital  wallet to buy, send and store cryptocurrencies as well as exchange with  traditional ones along with using a debit card to pay for goods and  services, enabling users to utilize bitcoin and other crypto money with  ease.",,"The  company raised EUR 600,000 of seed funding from Speedinvest on January  15, 2016. The funds will be used to hire more developers to boost the  product development and prepare for the expansion to the new markets.",
Otto Finance,,,https://pitchbook.com/profiles/company/466518-34,Otto Finance,2020,0,8,"financial care, financial health, financial help, financial services, financial support, personalized finance",FinTech,Other Financial Services*,,,Venture Capital-Backed,Startup,20/11/2020,0.65,0.65,Venture Capital,Early Stage VC,1,,0.65,,1,,Venture Capital-Backed,"The  company raised GBP 499,999 of venture funding from Flash Ventures and  other undisclosed investors on November 20, 2020, putting the company's  pre-money valuation at GBP 888,888.",Startup,"Operator  of a financial platform intended for the financial health &  well-being platform of employees. The company's comprehensive financial  health & well-being platform for employees blends the optimal mix of  human expertise and next-generation technology, informed by research in  behavioral science, thereby helping employees to connect with a  personal financial coach and achieve their financial goals through a  one-stop-shop for most financial planning needs.","Flash Ventures, Sequoia Capital","The  company raised GBP 788,081 of seed funding from Right Side Capital  Management on September 9, 2013, putting the company's pre-money  valuation at GBP 1.27 million.",
Rooster,,,https://pitchbook.com/profiles/company/467056-27,Rooster,2019,84.21527778,4,"artificial  intelligence, auto insurance, auto insurance application, car and home  insurance, insuretech, insuretech platform, insurtech, telematics","Artificial Intelligence & Machine Learning, FinTech, InsurTech","Application Software, Automotive Insurance*, Financial Software",InReach Ventures,,Venture Capital-Backed,Startup,20/11/2020,0.79,0.79,Venture Capital,Early Stage VC,1,,0.79,,1,,Venture Capital-Backed,"The  company raised GBP 599,999 of venture funding from InReach Ventures and  other undisclosed investors on November 20, 2020, putting the company's  pre-money valuation at GBP 2.13 million.",Generating Revenue,"Developer  of an artificial intelligence based insurance application designed to  offer fair-priced car insurance to drivers. The company's application  uses smartphone technology and data science, driving behavioral data and  computer science to set prices based on how people actually drive,  enabling drivers to get fair price insurance and smart ways to measure  risks.",InReach Ventures,"The  company raised GBP 397,840 of equity crowdfunding in the form of  convertible debt via Seedrs on May 18, 2020. Subsequently, it was  converted to equity. The funds will be used for senior hires to expand  capacity, significant improvements to the existing tech, developing some  new technology to increase the products offered, and a new marketing  strategy.",
Token,,,https://pitchbook.com/profiles/company/153640-09,Token,0,"2021: 75, 2020: 75, 2019: 50, 2018: 40, 2017: 15, 2016: 5",62,"account-to-account  payment, alternative payment, api aggregation, digital banking, digital  payment, digital transaction services, open banking, open banking apis,  open banking platform, payment infrastructure, payment system","FinTech, SaaS","Financial Software*, Other Financial Services",SBI Investment,3,Venture Capital-Backed,Generating Revenue,19/11/2020,15,50,Venture Capital,Later Stage VC,5,Series B,15,Series B,6,Flat Round,Venture Capital-Backed,"The  company raised $40 million of Series C venture funding in a deal led by  TempoCap and Cota Capital on May 12, 2022, putting the company's  pre-money valuation at $112 million. PostFinance, Factor Ventures,  Octopus Ventures, Opera Tech Ventures, SBI Investment, MissionOG, and  Element Ventures also participated in the round. The funds will be used  to expand open banking connectivity across Europe and introduce APIs for  Variable Recurring Payments and open finance applications.",Generating Revenue,"Developer  of an open banking platform intended to drive the shift from  traditional payment methods to frictionless account-to-account (A2A)  payments in Europe. The company's focus on payments for developing deep functionality that  makes accepting direct bank payments elegant and simple, while being the  enterprise-first approach enables transformation from traditional  payment methods to bank payments across Europe, helping users in the  existing payment value chain to bring direct bank payments to their  customers.","EQT Ventures (Alastair Mitchell), Human Capital, Linden3 Ventures, Octopus Ventures (Jo Oliver), Opera Tech Ventures, SBI Investment, Scott Robinson (Scott Robinson), Silverhorn Investment Advisors, Sony Innovation Fund, Tirto Adji (Tirto Adji)",The company raised an undisclosed amount of venture funding from Finn Grace Ventures in 2018.,
Paddle,,2021,https://pitchbook.com/profiles/company/58964-68,Paddle,2012,"2021: 140, 2020: 140, 2019: 140, 2018: 120, 2017: 35, 2016: 16, 2015: 14, 2014: 8",275,"application  licensing, customer service app, developer tools, ecommerce platform,  in-app purchases, multiple payment options, payments process technology","FinTech, SaaS, TMT","Business/Productivity Software, Financial Software*",FTV Capital (Kyle Griswold),3,Venture Capital-Backed,Generating Revenue,17/11/2020,67.95,99.96,Venture Capital,Later Stage VC,7,Series C,67.95,Series C,9,,Venture Capital-Backed,"The  company raised $200 million of Series D venture funding in a deal led  by Kohlberg Kravis Roberts on May 10, 2022, putting the company's  pre-money valuation at $1.2 billion. FTV Capital, 83North, Kindred  Capital, Notion, Silicon Valley Bank and other undisclosed investors  also participated in the round. Silicon Valley Bank provided debt  financing in the form of a loan in support of this transaction.  Previously, the company raised GBP 52 million of Series C venture  funding in a deal led by FTV Capital on November 17, 2020. BGF, Kindred  Capital, Notion, 83North and SV-FINTECH Fund also participated in the  round.",Generating Revenue,"Developer  of revenue delivery software designed to power growth across  acquisition, renewals, and expansion. The company's platform allows  companies to transform their revenue delivery infrastructure into a  strategic growth lever to sell globally with all sales tax, payments,  and data compliance guaranteed, enabling companies to increase global  conversions, reduce churn, stay compliant, and scale up fast.","83North (Laurel Bowden), BGF (Timothy Rea), Chrysanthos Chrysanthou, FTV Capital (Kyle Griswold), Kindred Capital, Notion (Stephen Chandler), SV-FINTECH Fund","The  company raised GBP 282,015 of equity crowdfunding via Seedrs on Jul 31,  2019. The funds will be used to cover capital costs, support growth and  develop some new technology to increase the products the company  offers.",
Griffin (Financial Software),,,https://pitchbook.com/profiles/company/268233-13,Griffin (Financial Software),2017,"2021: 34, 2020: 13, 2019: 1, 2018: 2",34,"banking,  financial platform, fintech, interbank payment, interbank payment  platform, online banking, payment platform, payment platform developer,  payment platform service","FinTech, SaaS","Financial Software*, Specialized Finance",EQT Ventures (Tom Mendoza),3,Venture Capital-Backed,Generating Revenue,16/11/2020,8.51,12.6,Venture Capital,Early Stage VC,2,,8.51,,3,Up Round,Venture Capital-Backed,"The  company raised GBP 6.52 million of venture funding in a deal led by EQT  Ventures on November 16, 2020, putting the company's pre-money  valuation at GBP 15.09 million. Seedcamp, Tribe Capital, Matthew  Robinson, NJF Capital, Carlos Gonzales-Cadenas, Paul Forster and other  investors also participated in the round. The funds will be used to  further product development, hire more people, and continue the bank  authorization process with the PRA and FCA.",Generating Revenue,"Developer  of a digital banking platform designed to facilitate payments for the  fintech sector. The company's platform has integrated compliance service  for companies that need custodial accounts and access for interbank  payments, enabling businesses to satisfy KYC and AML requirements in a  secure and hassle-free manner.","Carlos Gonzales-Cadenas, EQT Ventures (Tom Mendoza), Marcus Westin (Marcus Westin), Matthew Robinson, NJF Capital, Paul Forster (Paul Forster), Seedcamp, Tribe Capital","The  company raised GBP 500,000 of equity crowdfunding via Seedrs on January  6, 2021. The funds will be used to hire talent, build new technology  and launch its secondary market in the first quarter of this year.",
Clim8 Invest,,2020,https://pitchbook.com/profiles/company/434240-38,Clim8 Invest,2019,"2021: 51, 2020: 34",41,"climate  sustainability, environmental finance, environmental investment,  investment platform, social investment, sustainable finance","Climate Tech, FinTech, Impact Investing","Financial Software*, Other Capital Markets/Institutions, Other Financial Services",,1,Venture Capital-Backed,Generating Revenue,13/11/2020,3.35,6.03,Individual,Equity Crowdfunding,,,3.35,,5,,Venture Capital-Backed,"The  company raised GBP 2.85 million of equity crowdfunding in the form of  convertible debt via Crowdcube on July 22, 2021. The funds will be used  to increase brand awareness and for product innovation and expansion.  Previously, the company raised GBP 7.31 million of venture funding from  British Business Bank, Channel 4 Ventures and 7percent Ventures on April  12, 2021, putting the company's pre-money valuation at GBP 13.84  million. Love Capital and 13 individual investors also participated in  the round.",Generating Revenue,"Operator  of online crowdfunding and financial platform intended to facilitate  investments in social impact projects. The company's platform permits  users to invest in companies making an impact on core themes of  cleantech, clean energy, smart mobility, circular economy, clean water,  and other environmental sectors.","7percent Ventures (Andrew Scott), Basil Capital (Elena Cebollero Fraile), Ecosummit, Evergreen Fund, Michael Barry (Michael Barry)","The  company raised $10 million of venture funding in a deal led by Index  Ventures on June 30, 2014. Conversion Capital, Horizons Ventures, Ellen  Levy, Peter Jackson, Darren Shapland, Jonty Hurwitz and IDEO also  participated in the round. The funding will be used to launch the  service out of beta, roll out in the UK and eventually expand abroad.",
Glint (Financial Software),,,https://pitchbook.com/profiles/company/128479-51,Glint (Financial Software),2015,"2021: 61, 2020: 33, 2019: 60",67,"buy  gold, digital gold payment, fx platform, gold card, gold currency, gold  exchange, gold payment application, gold prices, gold trading, mobile  payment app, neo bank, p2p money transfer, payments process technology,  payments solution provider, precious metals trading, remittance card","FinTech, Mobile, Mobile Commerce","Application Software, Financial Software*, Other Financial Services",,4,Venture Capital-Backed,Generating Revenue,13/11/2020,6.69,10.69,Venture Capital,Later Stage VC,5,,10.69,,6,Down Round,Venture Capital-Backed,"The  company raised an undisclosed amount of venture funding from Sibanye  Gold on February 24, 2022. The funds will be used to considerably  accelerate our planned growth and strategic development. Previously, the  company raised GBP 4.68 million of equity crowdfunding via Republic on  September 1, 2021, putting the company's pre-money valuation at GBP  34.88 million.",Generating Revenue,"Developer  of a mobile gold payment application designed to reintroduce gold as a  global currency. The company's application lets users buy, save,  exchange, send multiple currencies including gold and use a Mastercard  debit card to spend those currencies in the UK, Europe, and the US,  thereby enabling users to make everyday payments through gold as per  their convenience at the point of sale.","Bray Capital, British Business Bank, Craig Dewar (Craig Dewar), Evy Hambro (Evy Hambro), Future Fund, NEC Capital Solution (TKS: 8793), Nicholas Silitch (Nicholas Silitch), Peter Michael (Peter Michael), Sprott Asset Management (TSE: CEF), Tokyo Commodity Exchange, TriplePoint Capital, Venture Labo Investment","The  company raised GBP 496,288 of seed funding in a deal led by Stellaris  Venture Partners on July 5, 2021, putting the company's pre-money  valuation at GBP 4.61 million. Better Capital (India), Startup Angel  Network, Earlsfield Capital, Ashish Sharma, Kunal Shah and Atul Mehta  also participated in the round. The funds will be used to scale its  technology and sales capabilities.",
Growth Capital Ventures,,2020,https://pitchbook.com/profiles/company/101623-51,Growth Capital Ventures,2012,"2021: 22, 2020: 22, 2019: 20, 2018: 18, 2017: 16, 2016: 8, 2015: 4",21,"crowdfunding  platform operator, crowdfunding platform provider, financial technology  firm, growth and expansion capital, investment platform, online  investment platform","FinTech, TMT","Financial Software*, Other Capital Markets/Institutions",Maven Capital Partners UK (David Nixon),1,Venture Capital-Backed,Generating Revenue,13/11/2020,1.69,3.61,Venture Capital,Equity Crowdfunding,,,1.69,,3,,Venture Capital-Backed,"The  company raised GBP 1.29 million of equity crowdfunding via  GrowthFunders on November 13, 2020. Maven Capital Partners and other  undisclosed investors also participated in the round. The funding raised  will be used to support 30 high-growth start-ups and create hundreds of  new tech jobs within the North East through its venture builder unit,  G-Labs.",Generating Revenue,"Operator  of an online investment platform intended to help investors build a  diversified portfolio. The company platform operates online investment  and capital crowdfunding platforms through which it raises startup,  growth and expansion capital, enabling business partners to get various  investment opportunities.",Maven Capital Partners UK (David Nixon),"The  company raised GBP 634,340 of equity crowdfunding via Seedrs on March  9, 2018, putting the company's pre-money valuation at GBP 5.32 million.  The company intends to use the fund to improve access to working capital  for their SME customers.",
Incuto,,2020,https://pitchbook.com/profiles/company/227396-62,Incuto,2016,"2021: 33, 2020: 30, 2019: 18, 2018: 14",26,"banking  platform provider, credit union banking platform, digital banking,  digital credit management, income verification, online banking,  transaction data analysis","FinTech, Mobile, TMT","Application Software, Financial Software*, Information Services (B2C)",,2,Venture Capital-Backed,Generating Revenue,13/11/2020,2.28,3.36,Venture Capital,Seed Round,2,Seed Round,2.28,,4,Flat Round,Venture Capital-Backed,"The  company announced it will raise an undisclosed amount of Series A  venture funding on an undisclosed date. Subsequently, the deal got  canceled. Previously, the company raised GBP 1.75 million of seed  funding from Ascension Ventures, Northstar Ventures and Mercia Asset  Management on November 13, 2020, putting the company's pre-money  valuation at GBP 5 million. The funds will be used to meet growing  demand at home and prepare for international expansion.",Generating Revenue,"Operator  of an automated income verification platform intended to access online  banking services offered by Credit Unions. The company's platform pools,  stores and secures transaction data, offers mobile payments, credit and  debit card transaction facilities, compliance and fraud prevention in  real-time, enabling credit unions and community banks to give access to  digital credit and banking products to rural people or those who can't  afford to visit banks in person.","Ascension (UK) (Emma Steele), Mercia Asset Management (LON: MERC) (Tom Kitchen), Northstar Ventures","The company joined Startup Wise Guys on October 20, 2014. Concurrently, Speedinvest invested in the company.",
SaltPay,,,https://pitchbook.com/profiles/company/433444-60,SaltPay,#N/A,#N/A,500,"fintech, management tool, payment company, payment service, point of sale, point of sale seller, point of sale tools","FinTech, SaaS","Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,13/11/2020,149.63,200,Venture Capital,Early Stage VC,2,,149.63,,2,,Venture Capital-Backed,"The  company raised $344.92 million of venture funding from EXOR Seeds,  Ribbit Capital and undisclosed investors on November 23, 2021. Accel  also participated in this round.. Previously, The company raised $500  million of Series C venture funding from Hedosophia, Tiger Global  Management and Valor Capital Group on April 9, 2021, putting the  company's pre-money valuation at $500 million. 5 other investors also  participated in the round. The company raised $344.92 million of venture  funding from EXOR Seeds, Ribbit Capital,IP Group, and undisclosed  investors on November 23, 2021. Accel also participated in this round.",Generating Revenue,"Operator  of a fintech company intended to help merchants by servicing them  through payment and management tools. The company's ecosystem of  services helps to automate operations and grow profits via services such  as onboarding in minutes, enabling merchants to grow by focusing on  efficiency, technology and people.",,"The  company raised GBP 132,528 of equity crowdfunding via Seedrs on  November 25, 2020, putting the company's pre-money valuation at GBP 13.5  million. The funds will be used for technology investment to add new  features including the auto-invest function, strategic senior hires to  expand marketing and compliance, and increased marketing spend.",
